,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,0,74,1,0,0,0
Ammonia,5,1,71,0,0,1
Acetaldehyde,0,0,0,55,0,0
Acetone,0,5,0,0,56,0
Toluene,0,99,0,0,2,0
