,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,438,0,32,86,44,0
Ethylene,0,188,7,39,148,218
Ammonia,0,2,536,0,11,51
Acetaldehyde,1,0,78,479,42,0
Acetone,0,180,53,0,338,29
Toluene,0,86,13,42,15,444
