variant,test_batch,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene
ce,9,0.7702127659574468,0.7548525557813716,1.0,0.9866666666666667,0.9230769230769231,1.0,0.9836065573770492,0.009900990099009901
ce,10,0.6933333333333334,0.6994934022458977,0.8316666666666667,0.36666666666666664,0.8833333333333333,0.7483333333333333,0.4766666666666667,0.8533333333333334
