,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,499,10,31,35,25,0
Ethylene,0,220,0,0,14,366
Ammonia,0,1,530,0,0,69
Acetaldehyde,2,87,62,449,0,0
Acetone,0,203,14,0,286,97
Toluene,0,88,0,0,0,512
