,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,516,30,29,21,4,0
Ethylene,0,233,0,0,11,356
Ammonia,51,2,458,0,0,89
Acetaldehyde,21,1,75,502,0,1
Acetone,0,166,33,0,262,139
Toluene,0,110,0,0,1,489
