model,mmd_lambda,seed,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_accuracy,model_label
dnn_mmd,0.5,23,5,3436,197,0.9796954314720813,0.8142360464394361,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0,20,1.0,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,6,3633,2300,0.7673913043478261,0.6462540612990145,0.9181818181818182,0.6896551724137931,0.9554455445544554,0.9843205574912892,0.9708171206225681,0.0021413276231263384,1471,0.7165193745751189,Baseline DNN
dnn_mmd,0.5,23,6,3633,2300,0.7669565217391304,0.6395562131627234,0.9181818181818182,0.6551724137931034,0.9603960396039604,0.9773519163763066,0.9747081712062257,0.0,1471,0.7151597552685248,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,7,5933,3613,0.7628009964018821,0.7395933628745833,0.8916666666666667,0.2674731182795699,0.9984126984126984,1.0,1.0,0.5211267605633803,886,0.5970654627539503,Baseline DNN
dnn_mmd,0.5,23,7,5933,3613,0.7688901190146693,0.7424757026712335,0.925,0.30510752688172044,0.9984126984126984,0.9984894259818731,1.0,0.49119718309859156,886,0.6060948081264108,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,8,9546,294,0.9251700680272109,0.9043318408428332,0.675,0.9696969696969697,0.993006993006993,0.9,1.0,0.7777777777777778,134,0.9477611940298507,Baseline DNN
dnn_mmd,0.5,23,8,9546,294,0.9251700680272109,0.9124082462828452,0.675,0.9696969696969697,0.993006993006993,0.8333333333333334,1.0,0.8888888888888888,134,0.9477611940298507,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,9,9840,470,0.774468085106383,0.7584083642527055,1.0,0.9866666666666667,0.9230769230769231,1.0,1.0,0.019801980198019802,217,0.543778801843318,Baseline DNN
dnn_mmd,0.5,23,9,9840,470,0.7702127659574468,0.7508425660057787,1.0,0.9866666666666667,0.9230769230769231,0.9818181818181818,1.0,0.009900990099009901,217,0.5345622119815668,MMD DNN (lambda=0.5)
dnn_baseline,0.0,23,10,10310,3600,0.6944444444444444,0.6977795535876131,0.875,0.415,0.73,0.8416666666666667,0.4716666666666667,0.8333333333333334,1100,0.6536363636363637,Baseline DNN
dnn_mmd,0.5,23,10,10310,3600,0.71,0.7133308548789653,0.8666666666666667,0.395,0.775,0.8516666666666667,0.5533333333333333,0.8183333333333334,1100,0.6563636363636364,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,4,3275,161,0.8757763975155279,0.7096179162770088,1.0,0.6666666666666666,1.0,1.0,0.84375,0.0,5,1.0,Baseline DNN
dnn_mmd,0.5,37,4,3275,161,0.8074534161490683,0.6697925757438142,1.0,0.6666666666666666,1.0,0.9302325581395349,0.71875,0.0,5,1.0,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,5,3436,197,0.9796954314720813,0.8140192081839679,0.95,0.9782608695652174,0.9841269841269841,1.0,0.9642857142857143,0.0,20,1.0,Baseline DNN
dnn_mmd,0.5,37,5,3436,197,0.9898477157360406,0.8229920146621348,0.95,0.9782608695652174,1.0,1.0,1.0,0.0,20,1.0,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,6,3633,2300,0.7634782608695653,0.6853523463642767,0.9181818181818182,0.8620689655172413,0.9900990099009901,0.9128919860627178,0.980544747081712,0.004282655246252677,1471,0.7036029911624745,Baseline DNN
dnn_mmd,0.5,37,6,3633,2300,0.7739130434782608,0.6680421777482372,0.9181818181818182,1.0,0.9917491749174917,0.9111498257839721,0.9571984435797666,0.0728051391862955,1471,0.7253569000679809,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,7,5933,3613,0.741489067257127,0.7117835803240974,0.9055555555555556,0.23387096774193547,0.9984126984126984,0.9984894259818731,1.0,0.4225352112676056,886,0.5282167042889391,Baseline DNN
dnn_mmd,0.5,37,7,5933,3613,0.7666758926100193,0.746996416628705,0.9361111111111111,0.3131720430107527,0.9984126984126984,0.9984894259818731,1.0,0.4595070422535211,886,0.5586907449209932,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,8,9546,294,0.9081632653061225,0.871630433925516,0.675,0.9696969696969697,0.986013986013986,0.8333333333333334,1.0,0.6666666666666666,134,0.917910447761194,Baseline DNN
dnn_mmd,0.5,37,8,9546,294,0.9319727891156463,0.9093987903669035,0.675,0.9696969696969697,0.993006993006993,0.9666666666666667,1.0,0.7777777777777778,134,0.9626865671641791,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,9,9840,470,0.7723404255319148,0.7533329420173023,1.0,0.9866666666666667,0.9230769230769231,1.0,1.0,0.009900990099009901,217,0.5391705069124424,Baseline DNN
dnn_mmd,0.5,37,9,9840,470,0.7723404255319148,0.7532175505237825,1.0,0.9866666666666667,0.9230769230769231,1.0,1.0,0.009900990099009901,217,0.5391705069124424,MMD DNN (lambda=0.5)
dnn_baseline,0.0,37,10,10310,3600,0.6841666666666667,0.6885375942387818,0.8633333333333333,0.33666666666666667,0.81,0.8566666666666667,0.43666666666666665,0.8016666666666666,1100,0.6363636363636364,Baseline DNN
dnn_mmd,0.5,37,10,10310,3600,0.6997222222222222,0.7088684238589735,0.765,0.37666666666666665,0.82,0.8716666666666667,0.5533333333333333,0.8116666666666666,1100,0.6118181818181818,MMD DNN (lambda=0.5)
