seed,test_batch,Baseline DNN,MMD DNN (lambda=0.5),mmd_minus_baseline_accuracy
11,4,0.7701863354037267,0.7701863354037267,0.0
11,5,0.9847715736040609,0.9746192893401016,-0.01015228426395931
11,6,0.7482608695652174,0.7513043478260869,0.003043478260869481
11,7,0.7716579020204816,0.7619706615001384,-0.009687240520343199
11,8,0.9251700680272109,0.9251700680272109,0.0
11,9,0.7723404255319148,0.774468085106383,0.0021276595744681437
11,10,0.685,0.7011111111111111,0.016111111111111076
23,4,0.8260869565217391,0.7701863354037267,-0.05590062111801242
23,5,0.9796954314720813,0.9796954314720813,0.0
23,6,0.7673913043478261,0.7669565217391304,-0.00043478260869567187
23,7,0.7628009964018821,0.7688901190146693,0.006089122612787157
23,8,0.9251700680272109,0.9251700680272109,0.0
23,9,0.774468085106383,0.7702127659574468,-0.004255319148936176
23,10,0.6944444444444444,0.71,0.015555555555555545
37,4,0.8757763975155279,0.8074534161490683,-0.06832298136645965
37,5,0.9796954314720813,0.9898477157360406,0.01015228426395931
37,6,0.7634782608695653,0.7739130434782608,0.01043478260869557
37,7,0.741489067257127,0.7666758926100193,0.025186825352892295
37,8,0.9081632653061225,0.9319727891156463,0.023809523809523836
37,9,0.7723404255319148,0.7723404255319148,0.0
37,10,0.6841666666666667,0.6997222222222222,0.015555555555555545
