model_label,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,low_ppm_accuracy_mean,low_ppm_accuracy_std,recall_Ethylene_mean,recall_Ethylene_std,recall_Acetone_mean,recall_Acetone_std,recall_Toluene_mean,recall_Toluene_std
Baseline DNN,0.814883522623485,0.09875888504576642,0.7470209011568661,0.08219018011686256,0.7020917079092477,0.24377226029882826,0.7134213353454539,0.2902693048338333,0.8808133321421954,0.19697268581753424,0.2992546710950527,0.3662860347841413
MMD DNN (lambda=0.5),0.8138984116558189,0.09572362875744925,0.7502152438725774,0.08609281237975656,0.6859523289709515,0.2685881557960713,0.7323080171965406,0.2767189507269527,0.8766915537291441,0.18409688155488113,0.3074535582876668,0.37271830700810377
