,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,0,3,37,0,0,0
Ethylene,0,33,0,0,0,0
Ammonia,0,2,140,0,1,0
Acetaldehyde,0,1,29,0,0,0
Acetone,0,26,0,0,4,0
Toluene,0,18,0,0,0,0
