,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,10,0,0,0
Ethylene,0,29,0,0,0,0
Ammonia,0,3,603,0,0,0
Acetaldehyde,0,0,51,523,0,0
Acetone,0,58,0,0,456,0
Toluene,0,89,377,0,1,0
