experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
fixed_1to3,dnn_sensor_time,"1,2,3",4,3275,161,0.7453416149068323,0.6391705620998238,1.0,0.6666666666666666,1.0,0.9767441860465116,0.53125,0.0,32.073850931677015,0.6770509844592452
fixed_1to3,dnn_sensor_time,"1,2,3",5,3275,197,0.9898477157360406,0.8214569528554261,0.9,1.0,1.0,1.0,1.0,0.0,34.157614213197974,0.5502991182046792
fixed_1to3,dnn_sensor_time,"1,2,3",6,3275,2300,0.7439130434782608,0.6427025023362489,0.9090909090909091,1.0,0.995049504950495,0.9111498257839721,0.8871595330739299,0.0,19.624147826086954,0.8381343812240044
fixed_1to3,dnn_sensor_time,"1,2,3",7,3275,3613,0.6429559922502076,0.6066346839736724,0.6083333333333333,0.7365591397849462,0.9301587301587302,0.8685800604229608,0.6086286594761171,0.0,35.8325525878771,0.6548110504103926
fixed_1to3,dnn_sensor_time,"1,2,3",8,3275,294,0.6020408163265306,0.2666382015705205,0.0,1.0,0.9790209790209791,0.0,0.13333333333333333,0.0,26.274914965986394,0.5129601727634874
fixed_1to3,dnn_sensor_time,"1,2,3",9,3275,470,0.2170212765957447,0.10298197436980706,0.0,0.3333333333333333,0.9871794871794872,0.0,0.0,0.0,35.93456914893616,0.26207095915387024
fixed_1to3,dnn_sensor_time,"1,2,3",10,3275,3600,0.39361111111111113,0.334866797296056,0.565,0.72,0.8016666666666666,0.275,0.0,0.0,129.16730972222223,0.34502913505265387
