,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,219,0,141,0,0,0
Ethylene,0,548,196,0,0,0
Ammonia,0,44,586,0,0,0
Acetaldehyde,0,0,87,575,0,0
Acetone,0,254,0,0,395,0
Toluene,0,372,196,0,0,0
