,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,12,0,0,0,0,0
Ethylene,0,20,10,0,0,0
Ammonia,0,0,12,0,0,0
Acetaldehyde,0,0,1,38,4,0
Acetone,0,1,24,0,39,0
Toluene,0,0,0,0,0,0
