,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,24,0,5,0,0
Ammonia,0,1,580,0,24,1
Acetaldehyde,0,0,0,523,51,0
Acetone,0,9,0,19,486,0
Toluene,0,305,99,0,51,12
