,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,29,0,0,0,0
Ammonia,0,0,606,0,0,0
Acetaldehyde,0,0,51,523,0,0
Acetone,0,26,0,6,482,0
Toluene,0,16,450,0,1,0
