experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
rolling,dnn_sensor_time,"1,2,3",4,3275,161,0.7453416149068323,0.6391705620998238,1.0,0.6666666666666666,1.0,0.9767441860465116,0.53125,0.0,32.073850931677015,0.6770509844592452
rolling,dnn_sensor_time,"1,2,3,4",5,3436,197,0.9847715736040609,0.8183698015724891,0.9,1.0,0.9841269841269841,1.0,1.0,0.0,20.970812182741117,0.812017692401719
rolling,dnn_sensor_time,"1,2,3,4,5",6,3633,2300,0.7569565217391304,0.6927336970672023,0.9181818181818182,1.0,1.0,0.9111498257839721,0.9377431906614786,0.0,21.19613043478261,0.8181178365219968
rolling,dnn_sensor_time,"1,2,3,4,5,6",7,5933,3613,0.7578189869914199,0.7512638427867127,0.8916666666666667,0.26881720430107525,0.9984126984126984,0.9984894259818731,1.0,0.4894366197183099,36.987922778854134,0.5868605990115145
rolling,dnn_sensor_time,"1,2,3,4,5,6,7",8,9546,294,0.9081632653061225,0.8580256820991968,0.675,1.0,0.9790209790209791,0.9666666666666667,1.0,0.4444444444444444,30.199834183673474,0.419678703711972
rolling,dnn_sensor_time,"1,2,3,4,5,6,7,8",9,9840,470,0.7574468085106383,0.7410216764511323,1.0,0.9866666666666667,0.9102564102564102,1.0,0.9180327868852459,0.0,26.21685904255319,0.4949744134378288
rolling,dnn_sensor_time,"1,2,3,4,5,6,7,8,9",10,10310,3600,0.7122222222222222,0.7167093041815704,0.8316666666666667,0.43833333333333335,0.9,0.8466666666666667,0.42,0.8366666666666667,121.48195937499999,0.3657312935381547
