,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,499,35,33,22,11,0
Ethylene,0,263,0,0,0,337
Ammonia,0,2,540,0,0,58
Acetaldehyde,1,23,68,508,0,0
Acetone,0,118,10,0,252,220
Toluene,0,98,0,0,0,502
