variant,test_batch,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene
weighted,9,0.7872340425531915,0.7773161372364786,1.0,0.9733333333333334,0.9615384615384616,1.0,1.0,0.0594059405940594
weighted,10,0.6788888888888889,0.6896575100012137,0.8533333333333334,0.42333333333333334,0.85,0.6166666666666667,0.48,0.85
