,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,512,18,5,19,46,0
Ethylene,0,254,0,0,0,346
Ammonia,0,4,510,0,0,86
Acetaldehyde,2,132,60,370,36,0
Acetone,0,220,3,0,288,89
Toluene,0,90,0,0,0,510
