,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,551,15,21,10,3,0
Ethylene,0,237,0,0,29,334
Ammonia,47,2,456,0,1,94
Acetaldehyde,13,2,68,511,5,1
Acetone,0,161,38,0,274,127
Toluene,0,125,0,0,1,474
