gas,historical_residual_correction_ppm
Ethanol,8.334708807719863
Ethylene,-8.912116576454169
Ammonia,9.11372067133968
Acetaldehyde,-27.00010909880377
Acetone,-69.34411186779234
Toluene,-14.389408557143634
