gas,historical_residual_correction_ppm
Ethanol,6.741362636586161
Ethylene,-9.507203794636245
Ammonia,8.818743454077422
Acetaldehyde,-26.856445417630685
Acetone,-67.76680829427096
Toluene,-14.072540389395312
