gas,historical_residual_correction_ppm
Ethanol,37.48654960924072
Ethylene,-6.38571317873108
Ammonia,8.175937932118254
Acetaldehyde,-74.10997777457219
Acetone,-204.9854802166354
Toluene,17.993860107344837
