gas,historical_residual_correction_ppm
Ethanol,33.372330068876806
Ethylene,-8.511206818106592
Ammonia,6.4734058391129965
Acetaldehyde,-42.51130906631298
Acetone,-120.13816223620583
Toluene,17.47188076759252
