gas,historical_residual_correction_ppm
Ethanol,9.00524023727146
Ethylene,-9.37954222659961
Ammonia,9.751861516074722
Acetaldehyde,-26.85988801078746
Acetone,-70.3018273341485
Toluene,-14.867333834898297
