,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,1,73,1,0,0,0
Ammonia,2,3,72,0,0,1
Acetaldehyde,0,0,0,55,0,0
Acetone,0,0,0,0,61,0
Toluene,0,92,0,0,9,0
