,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,19,0,1,0,0,0
Ethylene,0,46,0,0,0,0
Ammonia,0,0,63,0,0,0
Acetaldehyde,0,0,0,40,0,0
Acetone,0,1,0,0,27,0
Toluene,0,0,0,0,0,0
