,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,326,0,2,0,32,0
Ethylene,0,365,97,109,173,0
Ammonia,0,67,562,1,0,0
Acetaldehyde,0,0,1,661,0,0
Acetone,0,0,0,49,600,0
Toluene,0,362,58,0,148,0
