,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,0,63,0,3,9,0
Ammonia,0,3,72,1,2,0
Acetaldehyde,0,0,0,55,0,0
Acetone,0,0,0,0,61,0
Toluene,0,78,0,0,23,0
