,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,440,0,50,8,102,0
Ethylene,0,39,22,0,539,0
Ammonia,12,60,415,1,91,21
Acetaldehyde,1,0,63,442,93,1
Acetone,0,80,78,0,435,7
Toluene,0,22,37,0,541,0
