,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,24,0,5,0,0
Ammonia,0,6,597,0,2,1
Acetaldehyde,0,0,0,574,0,0
Acetone,0,25,0,8,481,0
Toluene,0,412,20,0,34,1
