,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,27,0,12,0,0,1
Ethylene,0,30,0,0,3,0
Ammonia,0,2,140,0,1,0
Acetaldehyde,0,0,2,28,0,0
Acetone,0,0,0,0,30,0
Toluene,0,1,0,0,5,12
