,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,321,1,1,37,0,0
Ethylene,41,445,36,167,55,0
Ammonia,0,56,573,1,0,0
Acetaldehyde,0,0,0,662,0,0
Acetone,0,0,0,0,649,0
Toluene,0,471,0,38,59,0
