,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,454,3,46,44,53,0
Ethylene,0,183,3,0,196,218
Ammonia,0,22,528,0,0,50
Acetaldehyde,1,1,95,474,29,0
Acetone,0,127,48,0,354,71
Toluene,0,116,5,0,28,451
