,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,29,0,0,0,0
Ammonia,0,3,600,0,3,0
Acetaldehyde,0,1,0,522,51,0
Acetone,10,18,3,0,483,0
Toluene,0,122,345,0,0,0
