,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,340,0,2,18,0,0
Ethylene,171,251,81,24,217,0
Ammonia,0,0,629,1,0,0
Acetaldehyde,0,0,0,662,0,0
Acetone,0,0,0,0,649,0
Toluene,0,125,186,6,163,88
