,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,27,0,10,0,0,3
Ethylene,0,33,0,0,0,0
Ammonia,0,1,139,0,1,2
Acetaldehyde,2,0,3,25,0,0
Acetone,0,0,0,0,30,0
Toluene,0,4,0,0,0,14
