,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,418,0,0,77,11,94
Ethylene,24,513,1,10,52,0
Ammonia,46,50,487,2,15,0
Acetaldehyde,52,0,0,235,0,313
Acetone,15,0,0,1,486,98
Toluene,0,0,0,95,0,505
