,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,40,0,0,0,24,0
Ethylene,5,38,0,0,0,0
Ammonia,0,0,12,0,0,0
Acetaldehyde,4,0,0,20,6,0
Acetone,0,0,0,0,12,0
Toluene,0,0,0,0,0,0
