experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
rolling,fusion_dnn,"1,2,3",4,3275,161,0.7577639751552795,0.6484467751921046,0.625,0.8837209302325582,1.0,0.6666666666666666,1.0,0.0,,
rolling,fusion_dnn,"1,2,3,4",5,3436,197,0.9898477157360406,0.824622211718986,1.0,1.0,0.95,1.0,0.9841269841269841,0.0,,
rolling,fusion_dnn,"1,2,3,4,5",6,3633,2300,0.7621739130434783,0.6514951998481198,0.9708171206225681,0.9111498257839721,0.9181818181818182,1.0,0.9917491749174917,0.0,,
rolling,fusion_dnn,"1,2,3,4,5,6",7,5933,3613,0.8787711043454193,0.87139396181257,1.0,0.9984894259818731,0.9361111111111111,0.5174731182795699,0.9984126984126984,0.9049295774647887,,
rolling,fusion_dnn,"1,2,3,4,5,6,7",8,9546,294,0.935374149659864,0.9252019525675629,1.0,0.9,0.675,0.9696969696969697,0.993006993006993,0.9444444444444444,,
rolling,fusion_dnn,"1,2,3,4,5,6,7,8",9,9840,470,0.7723404255319148,0.757247439595984,1.0,1.0,1.0,0.9866666666666667,0.9230769230769231,0.009900990099009901,,
rolling,fusion_dnn,"1,2,3,4,5,6,7,8,9",10,10310,3600,0.7344444444444445,0.7373993947486607,0.6966666666666667,0.855,0.8116666666666666,0.39166666666666666,0.81,0.8416666666666667,,
