,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,499,0,0,15,0,0
Ethylene,51,523,0,0,0,0
Ammonia,0,0,101,0,9,0
Acetaldehyde,0,0,0,29,0,0
Acetone,0,0,0,5,601,0
Toluene,51,0,0,411,5,0
