,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,485,0,0,29,0,0
Ethylene,50,523,0,1,0,0
Ammonia,0,0,101,0,9,0
Acetaldehyde,0,0,0,29,0,0
Acetone,1,0,0,18,585,2
Toluene,48,0,0,409,7,3
