,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,546,0,0,30,6,18
Ethylene,2,495,1,34,68,0
Ammonia,42,41,489,17,10,1
Acetaldehyde,25,0,0,304,0,271
Acetone,0,0,65,2,456,77
Toluene,7,0,0,92,0,501
