,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,649,0,0,0,0,0
Ethylene,0,661,0,0,1,0
Ammonia,0,21,337,0,2,0
Acetaldehyde,67,130,143,385,19,0
Acetone,0,1,0,0,629,0
Toluene,10,26,1,6,11,514
