,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,649,0,0,0,0,0
Ethylene,0,661,0,0,1,0
Ammonia,0,18,333,0,9,0
Acetaldehyde,120,65,5,409,144,1
Acetone,0,1,0,0,629,0
Toluene,15,5,0,6,16,526
