,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,34,0,0,4,26,0
Ethylene,1,38,0,0,4,0
Ammonia,0,0,12,0,0,0
Acetaldehyde,0,0,0,20,10,0
Acetone,0,0,0,0,12,0
Toluene,0,0,0,0,0,0
