,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,483,0,0,19,22,76
Ethylene,20,511,2,18,49,0
Ammonia,72,41,446,7,34,0
Acetaldehyde,46,0,0,309,0,245
Acetone,0,0,6,10,531,53
Toluene,20,0,0,81,0,499
