,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,407,0,0,70,9,114
Ethylene,21,524,2,5,47,1
Ammonia,38,13,519,11,19,0
Acetaldehyde,41,0,0,275,0,284
Acetone,0,0,23,1,503,73
Toluene,14,0,0,115,0,471
