,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,30,0,0,0,0,0
Ethylene,0,27,0,0,3,0
Ammonia,0,0,27,0,11,2
Acetaldehyde,0,0,0,32,0,1
Acetone,1,0,0,0,142,0
Toluene,0,0,0,1,0,17
