,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,649,0,0,0,0,0
Ethylene,0,661,0,0,1,0
Ammonia,5,1,321,0,33,0
Acetaldehyde,237,2,26,435,44,0
Acetone,0,1,0,0,629,0
Toluene,81,1,13,13,49,411
