,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,649,0,0,0,0,0
Ethylene,0,661,0,0,1,0
Ammonia,0,21,337,0,2,0
Acetaldehyde,165,113,2,407,57,0
Acetone,0,1,0,0,629,0
Toluene,59,0,2,0,22,485
