,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,29,0,0,0,0,1
Ethylene,0,25,2,0,3,0
Ammonia,0,0,27,0,12,1
Acetaldehyde,0,0,0,32,1,0
Acetone,1,0,1,0,141,0
Toluene,0,0,0,1,0,17
