model,mmd_lambda,test_batch,n_train,n_test,accuracy,macro_f1,mae,r2,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,low_ppm_n,low_ppm_mae
fusion_baseline,0.0,4,3275,161,0.7204968944099379,0.6326309199325072,34.75822680929433,0.6385778577802808,1.0,0.6666666666666666,1.0,0.8837209302325582,0.53125,0.0,5,64.2979721069336
fusion_baseline,0.0,5,3436,197,0.9898477157360406,0.824622211718986,21.357878593018818,0.8369979352044826,0.95,1.0,0.9841269841269841,1.0,1.0,0.0,20,6.11695671081543
fusion_baseline,0.0,6,3633,2300,0.7260869565217392,0.6397846760835674,25.738115377011507,0.812690589543845,0.9181818181818182,1.0,0.9818481848184818,0.872822299651568,0.8638132295719845,0.0,1471,26.445304274153823
fusion_baseline,0.0,7,5933,3613,0.8591198450041517,0.859607596904358,27.872313927323937,0.7202966435570166,0.925,0.646505376344086,0.9968253968253968,0.9984894259818731,1.0,0.6197183098591549,886,19.725676508574132
fusion_baseline,0.0,8,9546,294,0.9217687074829932,0.8983700215261904,23.075285853171835,0.6133021995478151,0.675,1.0,0.958041958041958,0.9666666666666667,1.0,0.8333333333333334,134,26.936247754452832
fusion_mmd,0.1,4,3275,161,0.7453416149068323,0.6421000688974545,43.450298238244855,0.30405829410611973,1.0,0.6666666666666666,1.0,0.8837209302325582,0.59375,0.0,5,52.90218658447266
fusion_mmd,0.1,5,3436,197,0.9949238578680203,0.8277474931018238,17.69975741623622,0.877487873171844,0.95,1.0,1.0,1.0,1.0,0.0,20,10.323056411743163
fusion_mmd,0.1,6,3633,2300,0.7660869565217391,0.6540175578361604,23.771425416365915,0.8502080084211991,0.9181818181818182,1.0,0.971947194719472,0.9912891986062717,0.9221789883268483,0.0,1471,26.284929857701368
fusion_mmd,0.1,7,5933,3613,0.8059784112925547,0.8013510902407744,22.124029797792367,0.8093378347670128,0.9027777777777778,0.5403225806451613,0.9984126984126984,1.0,1.0,0.43133802816901406,886,18.47482071611736
fusion_mmd,0.1,8,9546,294,0.9149659863945578,0.8896219318364431,28.04909069035329,0.5112873960637925,0.675,0.9393939393939394,1.0,0.8333333333333334,0.8666666666666667,0.9444444444444444,134,35.32147250958343
fusion_mmd,0.5,4,3275,161,0.7453416149068323,0.6347941829426418,50.27593733509135,0.11032105100422263,1.0,0.6666666666666666,1.0,0.9069767441860465,0.578125,0.0,5,68.39505310058594
fusion_mmd,0.5,5,3436,197,0.9949238578680203,0.8277474931018238,24.27026363314711,0.7630145233915324,0.95,1.0,1.0,1.0,1.0,0.0,20,27.613472747802735
fusion_mmd,0.5,6,3633,2300,0.7639130434782608,0.6498148497075227,27.417405919614044,0.8001126639473061,0.9181818181818182,1.0,0.9636963696369637,0.9843205574912892,0.9299610894941635,0.0,1471,28.494509704091936
fusion_mmd,0.5,7,5933,3613,0.7608635482978134,0.734752354642036,29.045364432674084,0.7311178133248126,0.9472222222222222,0.46236559139784944,0.9984126984126984,0.9984894259818731,1.0,0.22007042253521128,886,22.575785841414408
fusion_mmd,0.5,8,9546,294,0.9183673469387755,0.894606954159761,25.249807448614213,0.5441439546743063,0.675,0.9393939393939394,0.993006993006993,0.9,0.8666666666666667,0.9444444444444444,134,25.917464868346258
fusion_baseline,0.0,9,9840,470,0.7659574468085106,0.7528100812054839,15.81241429105718,0.7979995328260049,1.0,0.96,0.9230769230769231,1.0,0.9672131147540983,0.019801980198019802,217,8.643112006824687
fusion_baseline,0.0,10,10310,3600,0.6761111111111111,0.6779082137243045,54.141591794755726,0.8797962539777525,0.8383333333333334,0.3416666666666667,0.8833333333333333,0.7233333333333334,0.40166666666666667,0.8683333333333333,1100,13.147375786521218
fusion_baseline,0.0,9,9840,470,0.7659574468085106,0.7528100812054839,15.81241429105718,0.7979995328260049,1.0,0.96,0.9230769230769231,1.0,0.9672131147540983,0.019801980198019802,217,8.643112006824687
fusion_baseline,0.0,10,10310,3600,0.6761111111111111,0.6779082137243045,54.141591794755726,0.8797962539777525,0.8383333333333334,0.3416666666666667,0.8833333333333333,0.7233333333333334,0.40166666666666667,0.8683333333333333,1100,13.147375786521218
