,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,101,0,9,0,0,0
Ethylene,0,19,0,9,1,0
Ammonia,0,1,586,0,19,0
Acetaldehyde,0,0,0,523,51,0
Acetone,0,0,6,0,508,0
Toluene,0,251,157,0,58,1
