,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,3,72,0,0,0,0
Ammonia,3,3,71,0,0,1
Acetaldehyde,0,0,0,55,0,0
Acetone,0,0,0,0,61,0
Toluene,0,98,0,0,2,1
