experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
rolling,dnn_sensor_time,"1,2,3",4,3275,161,0.7453416149068323,0.6391705620998238,1.0,0.6666666666666666,1.0,0.9767441860465116,0.53125,0.0,32.073850931677015,0.6770509844592452
rolling,dnn_sensor_time,"1,2,3,4",5,3436,197,0.9847715736040609,0.8183698015724891,0.9,1.0,0.9841269841269841,1.0,1.0,0.0,20.970812182741117,0.812017692401719
rolling,dnn_sensor_time,"1,2,3,4,5",6,3633,2300,0.7569565217391304,0.6927336970672023,0.9181818181818182,1.0,1.0,0.9111498257839721,0.9377431906614786,0.0,21.19613043478261,0.8181178365219968
