,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,27,0,12,0,0,1
Ethylene,0,33,0,0,0,0
Ammonia,0,1,141,0,1,0
Acetaldehyde,1,0,2,27,0,0
Acetone,0,0,0,0,30,0
Toluene,0,2,0,0,0,16
