variant,class_weight,low_ppm_weight,test_batch,seed,accuracy,macro_f1,low_ppm_accuracy,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene
MMD hard-gas weighted,1.5,1.0,4,23,0.7763975155279503,0.6560570205093531,0.2,1.0,0.6666666666666666,1.0,0.9767441860465116,0.609375,0.0
MMD baseline,1.0,1.0,5,23,0.9796954314720813,0.8142360464394361,1.0,0.95,0.9565217391304348,0.9841269841269841,1.0,1.0,0.0
MMD hard-gas weighted,1.5,1.0,5,23,0.9847715736040609,0.8188356981460431,1.0,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0
MMD baseline,1.0,1.0,6,23,0.7669565217391304,0.6395562131627234,0.7151597552685248,0.9181818181818182,0.6551724137931034,0.9603960396039604,0.9773519163763066,0.9747081712062257,0.0
MMD hard-gas weighted,1.5,1.0,6,23,0.7491304347826087,0.6299415318378028,0.6879673691366417,0.9181818181818182,0.6551724137931034,0.9570957095709571,0.9111498257839721,0.9708171206225681,0.0021413276231263384
MMD baseline,1.0,1.0,7,23,0.7688901190146693,0.7424757026712335,0.6060948081264108,0.925,0.30510752688172044,0.9984126984126984,0.9984894259818731,1.0,0.49119718309859156
MMD hard-gas weighted,1.5,1.0,7,23,0.7639081096042071,0.7386256735087815,0.5869074492099323,0.9277777777777778,0.3172043010752688,0.9984126984126984,0.9984894259818731,1.0,0.44190140845070425
MMD baseline,1.0,1.0,8,23,0.9251700680272109,0.9124082462828452,0.9477611940298507,0.675,0.9696969696969697,0.993006993006993,0.8333333333333334,1.0,0.8888888888888888
MMD hard-gas weighted,1.5,1.0,8,23,0.9251700680272109,0.9043318408428332,0.9477611940298507,0.675,0.9696969696969697,0.993006993006993,0.9,1.0,0.7777777777777778
MMD baseline,1.0,1.0,9,23,0.7702127659574468,0.7508425660057787,0.5345622119815668,1.0,0.9866666666666667,0.9230769230769231,0.9818181818181818,1.0,0.009900990099009901
MMD hard-gas weighted,1.5,1.0,9,23,0.7680851063829788,0.7464473087811448,0.5345622119815668,1.0,0.9866666666666667,0.9102564102564102,1.0,1.0,0.0
MMD baseline,1.0,1.0,10,23,0.71,0.7133308548789653,0.6563636363636364,0.8666666666666667,0.395,0.775,0.8516666666666667,0.5533333333333333,0.8183333333333334
MMD hard-gas weighted,1.5,1.0,10,23,0.7175,0.7281508252668879,0.6709090909090909,0.8666666666666667,0.44,0.7516666666666667,0.8633333333333333,0.6033333333333334,0.78
MMD baseline,1.0,1.0,4,37,0.8074534161490683,0.6697925757438142,1.0,1.0,0.6666666666666666,1.0,0.9302325581395349,0.71875,0.0
MMD hard-gas weighted,1.5,1.0,4,37,0.7453416149068323,0.6363106913470361,0.6,1.0,0.6666666666666666,1.0,0.8837209302325582,0.59375,0.0
MMD baseline,1.0,1.0,5,37,0.9898477157360406,0.8229920146621348,1.0,0.95,0.9782608695652174,1.0,1.0,1.0,0.0
MMD hard-gas weighted,1.5,1.0,5,37,0.9898477157360406,0.8229250753761802,1.0,0.95,1.0,1.0,1.0,0.9642857142857143,0.0
MMD baseline,1.0,1.0,6,37,0.7739130434782608,0.6680421777482372,0.7253569000679809,0.9181818181818182,1.0,0.9917491749174917,0.9111498257839721,0.9571984435797666,0.0728051391862955
MMD hard-gas weighted,1.5,1.0,6,37,0.7608695652173914,0.6877177322227994,0.6981645139360979,0.9181818181818182,1.0,0.9620462046204621,0.9111498257839721,0.9708171206225681,0.032119914346895075
MMD baseline,1.0,1.0,7,37,0.7666758926100193,0.746996416628705,0.5586907449209932,0.9361111111111111,0.3131720430107527,0.9984126984126984,0.9984894259818731,1.0,0.4595070422535211
MMD hard-gas weighted,1.5,1.0,7,37,0.7713811237199003,0.7494620919078744,0.5914221218961625,0.9111111111111111,0.3010752688172043,0.9984126984126984,1.0,1.0,0.5193661971830986
MMD baseline,1.0,1.0,8,37,0.9319727891156463,0.9093987903669035,0.9626865671641791,0.675,0.9696969696969697,0.993006993006993,0.9666666666666667,1.0,0.7777777777777778
MMD hard-gas weighted,1.5,1.0,8,37,0.9183673469387755,0.89236671318389,0.9477611940298507,0.675,0.9393939393939394,0.986013986013986,0.8666666666666667,1.0,0.8333333333333334
MMD baseline,1.0,1.0,9,37,0.7723404255319148,0.7532175505237825,0.5391705069124424,1.0,0.9866666666666667,0.9230769230769231,1.0,1.0,0.009900990099009901
MMD hard-gas weighted,1.5,1.0,9,37,0.7723404255319148,0.7525209686912979,0.5391705069124424,1.0,0.9866666666666667,0.9230769230769231,1.0,1.0,0.009900990099009901
MMD baseline,1.0,1.0,10,37,0.6997222222222222,0.7088684238589735,0.6118181818181818,0.765,0.37666666666666665,0.82,0.8716666666666667,0.5533333333333333,0.8116666666666666
MMD hard-gas weighted,1.5,1.0,10,37,0.6872222222222222,0.6945255442747299,0.6318181818181818,0.865,0.3616666666666667,0.7516666666666667,0.865,0.43833333333333335,0.8416666666666667
