seed,test_batch,MMD baseline,MMD hard-gas weighted,weighted_minus_baseline_accuracy
11,4,0.7701863354037267,0.782608695652174,0.012422360248447228
11,5,0.9746192893401016,0.9898477157360406,0.015228426395939021
11,6,0.7513043478260869,0.7530434782608696,0.0017391304347826875
11,7,0.7619706615001384,0.8286742319402158,0.06670357044007746
11,8,0.9251700680272109,0.9319727891156463,0.006802721088435382
11,9,0.774468085106383,0.7702127659574468,-0.004255319148936176
11,10,0.7011111111111111,0.7094444444444444,0.008333333333333304
23,4,0.7701863354037267,0.7763975155279503,0.006211180124223614
23,5,0.9796954314720813,0.9847715736040609,0.0050761421319796
23,6,0.7669565217391304,0.7491304347826087,-0.01782608695652177
23,7,0.7688901190146693,0.7639081096042071,-0.004982009410462229
23,8,0.9251700680272109,0.9251700680272109,0.0
23,9,0.7702127659574468,0.7680851063829788,-0.0021276595744680327
23,10,0.71,0.7175,0.007500000000000062
37,4,0.8074534161490683,0.7453416149068323,-0.06211180124223603
37,5,0.9898477157360406,0.9898477157360406,0.0
37,6,0.7739130434782608,0.7608695652173914,-0.01304347826086949
37,7,0.7666758926100193,0.7713811237199003,0.00470523110988097
37,8,0.9319727891156463,0.9183673469387755,-0.013605442176870763
37,9,0.7723404255319148,0.7723404255319148,0.0
37,10,0.6997222222222222,0.6872222222222222,-0.012500000000000067
