variant,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,low_ppm_accuracy_mean,low_ppm_accuracy_std,recall_Ethylene_mean,recall_Ethylene_std,recall_Acetone_mean,recall_Acetone_std,recall_Toluene_mean,recall_Toluene_std
MMD baseline,0.8138984116558189,0.09572362875744925,0.7502152438725774,0.08609281237975656,0.6859523289709515,0.2685881557960713,0.7323080171965406,0.2767189507269527,0.8766915537291441,0.18409688155488113,0.3074535582876668,0.37271830700810377
MMD hard-gas weighted,0.8141017592051872,0.09814658191935853,0.7536019397974054,0.0874642505164019,0.6760068760054446,0.25613341935226236,0.737757826853924,0.2768028572811342,0.8687628102473155,0.20121662868740267,0.3205337934751687,0.3871973292824413
