,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,100,0,0,0,0,0
Ethylene,3,71,1,0,0,0
Ammonia,0,3,73,1,0,1
Acetaldehyde,0,0,0,55,0,0
Acetone,0,0,0,0,61,0
Toluene,0,95,0,0,6,0
