experiment,model,train_batches,test_batch,n_train,n_test,accuracy,macro_f1,recall_Ethanol,recall_Ethylene,recall_Ammonia,recall_Acetaldehyde,recall_Acetone,recall_Toluene,concentration_mae,concentration_r2
rolling,dnn_sensor,"1,2,3",4,3275,161,0.84472049689441,0.6924608070995006,1.0,0.6666666666666666,1.0,1.0,0.765625,0.0,32.073850931677015,0.6770509844592452
rolling,dnn_sensor,"1,2,3,4",5,3436,197,0.9847715736040609,0.8188356981460431,0.95,0.9782608695652174,0.9841269841269841,1.0,1.0,0.0,20.970812182741117,0.812017692401719
rolling,dnn_sensor,"1,2,3,4,5",6,3633,2300,0.7504347826086957,0.6384256696832135,0.9181818181818182,0.8275862068965517,0.9570957095709571,0.9111498257839721,0.9455252918287937,0.02569593147751606,21.19613043478261,0.8181178365219968
