,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,513,39,29,4,15,0
Ethylene,0,187,2,0,16,395
Ammonia,23,2,435,0,45,95
Acetaldehyde,11,1,79,502,6,1
Acetone,0,74,54,0,303,169
Toluene,0,80,7,0,0,513
