,Ethanol,Ethylene,Ammonia,Acetaldehyde,Acetone,Toluene
Ethanol,344,0,0,252,0,4
Ethylene,0,455,2,1,11,131
Ammonia,11,7,470,80,10,22
Acetaldehyde,88,114,29,354,9,6
Acetone,0,164,130,0,220,86
Toluene,1,210,5,30,0,354
